Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Profile""))",Chrome 77.0.3865.90,,,2020-01-12 13:13:12,2020-01-12 13:13:13,0.126s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:13:13,2020-01-12 13:13:16,3.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:13:16,2020-01-12 13:13:16,0.159s,PASSED
"hello = getText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:13:16,2020-01-12 13:13:16,0.127s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 77.0.3865.90,,,2020-01-12 13:13:16,2020-01-12 13:13:16,0.001s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2020-01-12 13:13:16,2020-01-12 13:13:16,0.072s,PASSED
,,,,,,,
Test Cases/freshfields,Chrome 77.0.3865.90,,,2020-01-12 13:13:16,2020-01-12 13:13:50,33.980s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2020-01-12 13:13:16,2020-01-12 13:13:16,0.309s,PASSED
"navigateToUrl(""https://freshfields.acomodeo.com/en/"")",Chrome 77.0.3865.90,,,2020-01-12 13:13:16,2020-01-12 13:13:19,2.586s,PASSED
delay(10),Chrome 77.0.3865.90,,,2020-01-12 13:13:19,2020-01-12 13:13:29,10.006s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:13:29,2020-01-12 13:13:29,0.205s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:13:29,2020-01-12 13:13:32,3.002s,PASSED
"setText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_email""), username)",Chrome 77.0.3865.90,,,2020-01-12 13:13:32,2020-01-12 13:13:33,0.428s,PASSED
"setEncryptedText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_password""), password)",Chrome 77.0.3865.90,,,2020-01-12 13:13:33,2020-01-12 13:13:33,0.747s,PASSED
delay(5),Chrome 77.0.3865.90,,,2020-01-12 13:13:33,2020-01-12 13:13:38,5.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/span_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:13:38,2020-01-12 13:13:38,0.137s,PASSED
delay(8),Chrome 77.0.3865.90,,,2020-01-12 13:13:38,2020-01-12 13:13:46,8.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Profile""))",Chrome 77.0.3865.90,,,2020-01-12 13:13:46,2020-01-12 13:13:47,0.175s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:13:47,2020-01-12 13:13:50,3.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:13:50,2020-01-12 13:13:50,0.112s,PASSED
"hello = getText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:13:50,2020-01-12 13:13:50,0.057s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 77.0.3865.90,,,2020-01-12 13:13:50,2020-01-12 13:13:50,0.001s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2020-01-12 13:13:50,2020-01-12 13:13:50,0.079s,PASSED
,,,,,,,
Test Cases/goomo,Chrome 77.0.3865.90,,,2020-01-12 13:13:50,2020-01-12 13:14:24,33.859s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2020-01-12 13:13:50,2020-01-12 13:13:50,0.470s,PASSED
"navigateToUrl(""https://goomo.acomodeo.com/en/"")",Chrome 77.0.3865.90,,,2020-01-12 13:13:50,2020-01-12 13:13:52,1.961s,PASSED
delay(10),Chrome 77.0.3865.90,,,2020-01-12 13:13:52,2020-01-12 13:14:02,10.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:14:02,2020-01-12 13:14:03,0.215s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:14:03,2020-01-12 13:14:06,3.003s,PASSED
"setText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_email""), username)",Chrome 77.0.3865.90,,,2020-01-12 13:14:06,2020-01-12 13:14:06,0.671s,PASSED
"setEncryptedText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_password""), password)",Chrome 77.0.3865.90,,,2020-01-12 13:14:06,2020-01-12 13:14:07,0.763s,PASSED
delay(5),Chrome 77.0.3865.90,,,2020-01-12 13:14:07,2020-01-12 13:14:12,5.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/span_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:14:12,2020-01-12 13:14:12,0.147s,PASSED
delay(8),Chrome 77.0.3865.90,,,2020-01-12 13:14:12,2020-01-12 13:14:20,8.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Profile""))",Chrome 77.0.3865.90,,,2020-01-12 13:14:20,2020-01-12 13:14:20,0.128s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:14:20,2020-01-12 13:14:23,3.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:14:23,2020-01-12 13:14:24,0.165s,PASSED
"hello = getText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:14:24,2020-01-12 13:14:24,0.094s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 77.0.3865.90,,,2020-01-12 13:14:24,2020-01-12 13:14:24,0.004s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2020-01-12 13:14:24,2020-01-12 13:14:24,0.094s,PASSED
,,,,,,,
Test Cases/microfuzzy,Chrome 77.0.3865.90,,,2020-01-12 13:14:24,2020-01-12 13:15:00,36.752s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2020-01-12 13:14:24,2020-01-12 13:14:25,0.672s,PASSED
"navigateToUrl(""https://microfuzzy.acomodeo.com/en/"")",Chrome 77.0.3865.90,,,2020-01-12 13:14:25,2020-01-12 13:14:31,6.464s,PASSED
delay(10),Chrome 77.0.3865.90,,,2020-01-12 13:14:31,2020-01-12 13:14:41,10.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:14:41,2020-01-12 13:14:41,0.216s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:14:41,2020-01-12 13:14:44,3.004s,PASSED
"setText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_email""), username)",Chrome 77.0.3865.90,,,2020-01-12 13:14:44,2020-01-12 13:14:45,0.734s,PASSED
"setEncryptedText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_password""), password)",Chrome 77.0.3865.90,,,2020-01-12 13:14:45,2020-01-12 13:14:46,0.870s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:14:46,2020-01-12 13:14:49,3.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/span_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:14:49,2020-01-12 13:14:49,0.244s,PASSED
delay(8),Chrome 77.0.3865.90,,,2020-01-12 13:14:49,2020-01-12 13:14:57,8.003s,PASSED
